County Name,Facility_Name,Full_Address,State,Total,latitudes,longitudes
HOUSTON,SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE,DOTHAN,HOUSTON,AL",AL,2427,31.2158271,-85.3634326
MARSHALL,MARSHALL MEDICAL CENTERS,"2505 U S HIGHWAY 431 NORTH,BOAZ,MARSHALL,AL",AL,5104,34.601233,-87.123343
LAUDERDALE,NORTH ALABAMA MEDICAL CENTER,"1701 VETERANS DRIVE,FLORENCE,LAUDERDALE,AL",AL,2120,34.8050428,-87.6508143
JEFFERSON,ST. VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,JEFFERSON,AL",AL,26142,33.564772,-86.760155
SHELBY,SHELBY BAPTIST MEDICAL CENTER,"1000 FIRST STREET NORTH,ALABASTER,SHELBY,AL",AL,20720,33.075378,-86.5191
JEFFERSON,CALLAHAN EYE HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500,BIRMINGHAM,JEFFERSON,AL",AL,26142,33.5033556,-86.8023492
DALE,DALE MEDICAL CENTER,"126 HOSPITAL AVE,OZARK,DALE,AL",AL,541,31.4511675,-85.6320623
MONTGOMERY,BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD,MONTGOMERY,MONTGOMERY,AL",AL,41558,32.327953,-86.277782
MONTGOMERY,JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET,MONTGOMERY,MONTGOMERY,AL",AL,41558,32.3671897,-86.2847828
LEE,EAST ALABAMA MEDICAL CENTER AND SNF,"2000 PEPPERELL PARKWAY,OPELIKA,LEE,AL",AL,18884,32.6380722,-85.4054027
JEFFERSON,UNIVERSITY OF ALABAMA HOSPITAL,"619 SOUTH 19TH STREET,BIRMINGHAM,JEFFERSON,AL",AL,26142,33.5123415,-86.8956661
ELMORE,COMMUNITY HOSPITAL INC,"805 FRIENDSHIP ROAD,TALLASSEE,ELMORE,AL",AL,1430,32.5352923,-85.9128047
MADISON,HUNTSVILLE HOSPITAL,"101 SIVLEY RD,HUNTSVILLE,MADISON,AL",AL,10806,34.730834,-86.937299
ETOWAH,GADSDEN REGIONAL MEDICAL CENTER,"1007 GOODYEAR AVENUE,GADSDEN,ETOWAH,AL",AL,1382,34.0077851,-85.9663096
MARION,MARION REGIONAL MEDICAL CENTER,"1256 MILITARY STREET SOUTH,HAMILTON,MARION,AL",AL,22462,34.1260846,-87.9908673
FAYETTE,FAYETTE MEDICAL CENTER,"1653 TEMPLE AVENUE NORTH,FAYETTE,FAYETTE,AL",AL,4287,33.7082308,-87.8247845
ETOWAH,RIVERVIEW REGIONAL MEDICAL CENTER,"600 SOUTH THIRD STREET,GADSDEN,ETOWAH,AL",AL,1382,34.01426,-86.00664
GREENE,GREENE COUNTY HOSPITAL,"509 WILSON AVENUE,EUTAW,GREENE,AL",AL,3028,32.8429125,-87.890511
TALLAPOOSA,LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD,DADEVILLE,TALLAPOOSA,AL",AL,730,32.8187446,-85.7410872
HOUSTON,FLOWERS HOSPITAL,"4370 WEST MAIN STREET,DOTHAN,HOUSTON,AL",AL,2427,31.2383406,-85.4566178
JEFFERSON,ST VINCENT'S BIRMINGHAM,"810 ST VINCENT'S DRIVE,BIRMINGHAM,JEFFERSON,AL",AL,26142,33.5074933,-86.7880676
BIBB,BIBB MEDICAL CENTER,"208 PIERSON AVE,CENTREVILLE,BIBB,AL",AL,2527,32.9513204,-87.1482051
LAWRENCE,LAWRENCE MEDICAL CENTER,"202 HOSPITAL STREET,MOULTON,LAWRENCE,AL",AL,1669,34.4833102,-87.2852525
JACKSON,HIGHLANDS MEDICAL CENTER,"380 WOODS COVE ROAD,SCOTTSBORO,JACKSON,AL",AL,6346,34.6614828,-86.0482742
GENEVA,WIREGRASS MEDICAL CENTER,"1200 W MAPLE AVENUE,GENEVA,GENEVA,AL",AL,148,31.0489116,-85.8920213
TALLAPOOSA,RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280,ALEXANDER CITY,TALLAPOOSA,AL",AL,730,32.94401,-85.95385
BARBOUR,MEDICAL CENTER BARBOUR,"820 W WASHINGTON ST,EUFAULA,BARBOUR,AL",AL,528,31.8888027,-85.1563732
LIMESTONE,ATHENS LIMESTONE HOSPITAL,"700 WEST MARKET STREET,ATHENS,LIMESTONE,AL",AL,1007,34.80287,-86.97167
BALDWIN,SOUTH BALDWIN REGIONAL MEDICAL CENTER,"1613 NORTH MCKENZIE STREET,FOLEY,BALDWIN,AL",AL,2758,30.40659,-87.6836
MORGAN,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,"1201 7TH STREET SE,DECATUR,MORGAN,AL",AL,3212,34.5908582,-86.9713935
FAYETTE,NORTHWEST MEDICAL CENTER,"1530 U S HIGHWAY 43,WINFIELD,FAYETTE,AL",AL,4287,33.705559,-87.825052
MOBILE,USA HEALTH UNIVERSITY HOSPITAL,"2451 FILLINGIM STREET,MOBILE,MOBILE,AL",AL,6178,30.7069584,-88.0984305
WALKER,WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78 EAST,JASPER,WALKER,AL",AL,4291,33.83122,-87.27751
MOBILE,PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD,MOBILE,MOBILE,AL",AL,6178,30.679321,-88.19854
TUSCALOOSA,D C H REGIONAL MEDICAL CENTER,"809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,TUSCALOOSA,AL",AL,3240,33.204164,-87.5275368
HALE,HALE COUNTY HOSPITAL,"508 GREEN STREET,GREENSBORO,HALE,AL",AL,1340,33.783695,-87.054238
ELMORE,ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DRIVE,WETUMPKA,ELMORE,AL",AL,1430,32.5526513,-86.1861954
ESCAMBIA,D W MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE,BREWTON,ESCAMBIA,AL",AL,6565,31.1267347,-87.0736055
BALDWIN,THOMAS HOSPITAL,"750 MORPHY AVENUE,FAIRHOPE,BALDWIN,AL",AL,2758,30.5190361,-87.8883517
TALLADEGA,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE,TALLADEGA,TALLADEGA,AL",AL,658,33.4404993,-86.0907371
WILCOX,J PAUL JONES HOSPITAL,"317 MCWILLIAMS AVENUE,CAMDEN,WILCOX,AL",AL,503,31.9974562,-87.3001706
JEFFERSON,PRINCETON BAPTIST MEDICAL CENTER,"701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,JEFFERSON,AL",AL,26142,33.4974069,-86.8479376
JEFFERSON,GRANDVIEW MEDICAL CENTER,"3690 GRANDVIEW PARKWAY,BIRMINGHAM,JEFFERSON,AL",AL,26142,33.4333703,-86.7180489
